Section ID & Heading,Recommendation / Requirement,Normative Keyword,Code,Rationale/Context,Subtheme,Theme
3.4 Software Supply Chain Rules,An SBOM lists Components that are: Integrated as a Component from an upstream Supplier who does not provide an SBOM.,REQUIRED,List upstream components without SBOM,,Supply Chain Practices,SBOM Operations & Lifecycle
3.4 Software Supply Chain Rules,"As part of delivering Components to users, Suppliers also deliver the associated SBOM(s) or provide a means for the Consumer to easily obtain SBOMs.",REQUIRED,Deliver SBOMs to consumers,,SBOM Distribution,SBOM Operations & Lifecycle
3.4 Software Supply Chain Rules,Suppliers are responsible for the Components they create and include in an SBOM.,REQUIRED,Suppliers responsible for components,,Supply Chain Practices,SBOM Operations & Lifecycle
3.4 Software Supply Chain Rules,Suppliers are also responsible for providing the collected set of Components to their downstream Consumers.,REQUIRED,Suppliers provide collected SBOMs downstream,,SBOM Distribution,SBOM Operations & Lifecycle
3.4 Software Supply Chain Rules,"When a Supplier creates such SBOMs, the Supplier is expected to clearly convey that they are only the Author of the SBOM and are not the Supplier of the Component.",SHOULD,Distinguish SBOM author vs actual supplier,,Supply Chain Practices,SBOM Operations & Lifecycle
3.5.1.1 Produce,All Suppliers create SBOMs for their own Components.,REQUIRED,All suppliers create SBOMs,,Supply Chain Practices,SBOM Operations & Lifecycle
3.5.1.1 Produce,"When SBOMs for upstream Components are not available, a Supplier may need to Author an SBOM for a different Supplier’s Component.",MAY,Author SBOMs for upstream components if missing,,Supply Chain Practices,SBOM Operations & Lifecycle
3.6.1 Vulnerability Management and VEX,"Additionally, including the end-of-life date and level-of-support for the Components as supplemental to the SBOM provides the entity performing an impact assessment of a vulnerability with crucial information for mitigation options.",RECOMMENDED,Include EOL & support level in SBOM,,Use Case Enablement,Use Case Enablement
3.6.2 Intellectual Property,This use case requires associations of different licenses and types of licenses to Components and a way to evaluate the net effect of different Components with different licenses combined into an assembled product.,REQUIRED,Associate and evaluate component licenses,,Use Case Enablement,Use Case Enablement
3.6.3 Secure Supply Chain Software Assurance,"Secure Supply Chain of the source and integrity of Components requires information about the pedigree and provenance of Components, such as how they were built and packaged, who created and modified them, and their chain of custody through the Supply Chain.",REQUIRED,Capture component pedigree & provenance,,Use Case Enablement,Use Case Enablement
3.6.3 Secure Supply Chain Software Assurance,"As with the other use cases, the secure Supply Chain documentation will require additional Attributes about Components, different relationship types, and likely different Supplier information.",REQUIRED,Include additional attributes & supplier data,,Use Case Enablement,Use Case Enablement
4 Conclusion,"To be useful to end-user organizations, an SBOM needs to include baseline identity and relationship information that allows software Components to be correlated and linked as they move through the secure software Supply Chain.",REQUIRED,Include baseline identity & relationships,,Foundational Principles,Foundational Principles
